step,train_loss,learning_rate,eval_loss
5,2.523292350769043,8e-05,
10,1.578983688354492,0.00018,
15,0.8648584365844727,0.00019997455157430165,
20,0.6113784790039063,0.00019987118954327654,
25,0.5464609146118165,0.0001996884055151389,
30,0.5358731746673584,0.00019942634484785052,
35,0.5211147785186767,0.00019908521594367098,
40,0.49221124649047854,0.00019866529008342673,
45,0.5137436389923096,0.00019816690121077674,
50,0.49291019439697265,0.00019759044566664558,0.4757879376411438
55,0.48281450271606446,0.00019693638187403563,
60,0.49889521598815917,0.0001962052299734688,
65,0.5015593051910401,0.0001953975714093476,
70,0.4801196575164795,0.00019451404846756494,
75,0.44255838394165037,0.00019355536376472972,
80,0.47337703704833983,0.00019252227968941522,
85,0.4778420925140381,0.0001914156177958736,
90,0.46555309295654296,0.00019023625815069989,
95,0.4633346080780029,0.0001889851386329637,
100,0.4622048377990723,0.00018766325418836637,0.44141602516174316
105,0.4621312618255615,0.00018627165603801605,
110,0.4285775661468506,0.00018481145084245002,
115,0.46494712829589846,0.00018328379982156915,
120,0.4259769439697266,0.00018168991783118452,
125,0.4193870544433594,0.00018003107239691004,
130,0.4383214473724365,0.0001783085827061699,
135,0.43501296043396,0.00017652381855912247,
140,0.4442938804626465,0.00017467819927933416,
145,0.4780277729034424,0.00017277319258507073,
150,0.41661949157714845,0.00017081031342210245,0.420444130897522
155,0.39683003425598146,0.00016879112275895215,
160,0.42896509170532227,0.0001667172263455438,
165,0.42557830810546876,0.00016459027343623906,
170,0.45569920539855957,0.00016241195547827704,
175,0.409030818939209,0.00016018400476666055,
180,0.45684218406677246,0.0001579081930665582,
185,0.42856683731079104,0.00015558633020431835,
190,0.42445759773254393,0.00015322026262821488,
195,0.3626452207565308,0.00015081187194006962,
200,0.33583979606628417,0.00014836307339891934,0.4116060137748718
205,0.3643436670303345,0.0001458758143979166,
210,0.3605621099472046,0.0001433520729156767,
215,0.3698617935180664,0.00014079385594330121,
220,0.3867511749267578,0.00013820319788832968,
225,0.36552565097808837,0.00013558215895688867,
230,0.3696179151535034,0.00013293282351532442,
235,0.3840787410736084,0.00013025729843262241,
240,0.3478477239608765,0.00012755771140493167,
245,0.36504013538360597,0.00012483620926352656,
250,0.372048544883728,0.00012209495626755134,0.4017694294452667
255,0.358510947227478,0.00011933613238290535,
260,0.36126868724822997,0.00011656193154863749,
265,0.37466981410980227,0.00011377455993222867,
270,0.340688157081604,0.00011097623417514957,
275,0.3535169124603271,0.00010816917963008916,
280,0.34452385902404786,0.00010535562859125558,
285,0.3667081356048584,0.00010253781851915663,
290,0.358331561088562,9.971799026127236e-05,
295,0.3547327518463135,9.689838627003354e-05,
300,0.3612473249435425,9.408124881952418e-05,0.39070284366607666
305,0.36124751567840574,9.126881822232568e-05,
310,0.3733323574066162,8.846333104792116e-05,
315,0.36364805698394775,8.566701834407605e-05,
320,0.3729971408843994,8.288210386261019e-05,
325,0.32829034328460693,8.011080229097159e-05,
330,0.33332114219665526,7.735531749101898e-05,
335,0.34943904876708987,7.461784074641318e-05,
340,0.3448129653930664,7.190054902001097e-05,
345,0.33062090873718264,6.920560322264795e-05,
350,0.349271821975708,6.653514649468644e-05,0.3848899006843567
355,0.3623547077178955,6.389130250169505e-05,
360,0.3596620798110962,6.127617374561597e-05,
365,0.3373024702072144,5.8691839892761965e-05,
370,0.3411055564880371,5.614035611997378e-05,
375,0.3344956636428833,5.362375148025213e-05,
380,0.323966908454895,5.1144027289165045e-05,
385,0.28646368980407716,4.8703155533312925e-05,
390,0.2867506742477417,4.630307730211737e-05,
395,0.27639687061309814,4.3945701244180847e-05,
400,0.291655445098877,4.1632902049444686e-05,0.3879767656326294
405,0.28005950450897216,3.9366518958352585e-05,
410,0.2960750341415405,3.714835429920499e-05,
415,0.2865323305130005,3.4980172054867824e-05,
420,0.2920150518417358,3.286369645997517e-05,
425,0.28750052452087405,3.080061062974119e-05,
430,0.26528956890106203,2.8792555221472573e-05,
435,0.27388911247253417,2.68411271298451e-05,
440,0.28561575412750245,2.4947878216981945e-05,
445,0.2636199235916138,2.3114314078344478e-05,
450,0.2845332145690918,2.1341892845415766e-05,0.38582494854927063
455,0.2791975259780884,1.963202402612978e-05,
460,0.29379723072052,1.798606738396843e-05,
465,0.2651493787765503,1.64053318566171e-05,
470,0.26172311305999757,1.4891074515039548e-05,
475,0.2923149824142456,1.3444499563799262e-05,
480,0.2725567102432251,1.2066757383422667e-05,
485,0.27699272632598876,1.0758943615565486e-05,
490,0.2745842933654785,9.52209829170998e-06,
495,0.28889005184173583,8.357205006085756e-06,
500,0.2756552219390869,7.265190133472089e-06,0.3836292326450348
505,0.26499085426330565,6.24692209250356e-06,
510,0.28330492973327637,5.303210655065138e-06,
515,0.26338891983032225,4.434806302325634e-06,
520,0.2721560478210449,3.6423996279218442e-06,
525,0.26440863609313964,2.9266207887678088e-06,
530,0.25567939281463625,2.288039003926157e-06,
535,0.2777747631072998,1.7271621019399165e-06,
540,0.2806698322296143,1.2444361169846043e-06,
545,0.2875447034835815,8.402449341622153e-07,
550,0.28586087226867674,5.149099842187254e-07,0.38351842761039734
555,0.2800557851791382,2.6868998792808353e-07,
560,0.2752071857452393,1.0178075034601442e-07,
565,0.2767809867858887,1.4315005097176314e-08,
567,,,0.3835720121860504
